email,name
info@agednyc.com,(aged.)
info@123burgershotbeer.com,1 2 3 Burger Shot Beer
1803nyc@gmail.com,1803
info@18thwardbrewing.com,18th Ward Brewing
info@230-fifth.com,230 Fifth
greatfood@5burrocafe.com,5 Burro Cafe
info@alaturkany.com,A La Turka Restaurant
info@abarestaurant.com,ABA Turkish Restaurant
abcbeerco@gmail.com,ABC Beer Co.
reservations@acebar.com,Ace Bar
info@acepizzany.com,Ace Pizzeria and Restaurant
hello@achillesheelnyc.com,Achilles Heel
hello@addanyc.com,Adda
a1adyarlex@gmail.com,Adyar Ananda Bhavan
agoranyc@hotmail.com,Agora
info@albertsbar.com,Albert’s Bar
info@alewife.beer,Alewife Brewing
contact@alkecafe.co,Alke Café
altheahideaway@gmail.com,Althea’s Hideway
info@altroparadiso.com,Altro Paradiso
amamibk@gmail.com,Amami
amarachiprime@gmail.com,Amarachi
amarantobklyn@gmail.com,Amaranto
info@americanbrasslic.com,American Brass
amituofovegan@gmail.com,Amituofo Vegan Cuisine
amylosgroup@amylos.com,Amylos Taverna
anandrestaurantnyc@gmail.com,Anand Indian Cuisine
info@nybratfactory.com,Anar
info@anassataverna.com,Anassa Taverna
angelettonyc@gmail.com,Angeletto
info@angelobellini.com,Angelo Bellini
info@anticapesa.com,Antica Pesa
info@antoyabbq.com,Antoya Korean BBQ
info@anytimenyc.com,Anytime NYC
info@aoceast.com,AOC East
applejackdiner@yahoo.com,Applejack Diner
info@aquavit.org,Aquavit
arcadiabarlic@gmail.com,Arcadia Bar and Kitchen
nfo@ariananewyorkcity.com,Ariana Afghan Kebab
aromaindiannyc@gmail.com,Aroma Indian
nycrg12@gmail.com,Arte Cafe
info@askiliorchard.com,Askili Orchard
astrorestaurnant@yahoo.com,Astro Restaurant
atcave@info.com,At Cave
info@atoboynyc.com,Atoboy
aujusharlem@gmail.com,Au Jus
info@auzaatar.com,Au Za'atar
info@augustny.com,August
info@aurorasoho.com,Aurora SoHo
info@bcafe.com,B. Cafe
info@bldiner.com,B&L Diner
baileyscornerpub@gmail.com,Bailey's Corner Pub
banhvny@gmail.com,Bánh Shop House
info@bar43.com,Bar 43
info@barbellynyc.com,Bar Belly
barfelice@felicenyc.com,Bar Felice
info@barbarescorestaurant.com,Barbaresco
contact@basikbrooklyn.com,Basik
info@batardtribeca.com,Bâtard
azizinus@yahoo.com,Bawarchi Indian Cuisine
michael@baylander.nyc,Baylander Steel Beach
gm@bbqktown.com,BB.Q Olive Chicken
info@beerauthoritynyc.com,Beer Authority
info@belluccis.com,Bellucci's Pizzeria
manhattan@bensdeli.net,Ben's Delicatessen
biddys@biddysnyc.com,Biddy's Pub
info@bierhausnyc.com,Bierhaus NYC
reservations@bigabite.pizza,Biga Bite
binondonyc@gmail.com,Binondo
birdsofafeather.nyc@gmail.com,Birds of a Feather
info@osterianandonyc.com,Bistro Nando
reynolds.livity@gmail.com,Black Crescent
events@blacktapnyc.com,Black Tap
info@blackbarnrestaurant.com,BLACKBARN Restaurant
blaggards@verizon.net,Blaggards Pub
owners@bleeckerstreetpizza.com,Bleecker Street Pizza
blindtigeralehouse@gmail.com,Blind Tiger
bloomstavern@gmail.com,Bloom's Tavern
9thaveblue@gmail.com,Blue Seafood Bar
hello@blueparkkitchen.com,Blue-Park Kitchen
info@boulevardbistrony.com,BLVD Bistro
customerservice@boarsheadcafe.com,Boar's Head
info@bocadocafenyc.com,Bocado Cafe
bsrnewyork@gmail.com,Bohemian Spirit Restaurant
caity@bondurantsnyc.com,Bondurants
hello@bonniesbrooklyn.com,Bonnie's
bonusroombar@gmail.com,Bonus Room
ues@boquerianyc.com,Boqueria
soho@baquerianyc.com,Boqueria Soho
boranthai462@gmail.com,Boran
queers@boyfriend.coop,Boyfriend Coop
info@brandyspianobar.com,Brandy's Piano Bar
service@breezebk.com,Breeze
orders@brouwerijlanenyc.com,Brouwerij Lane
buathairamennyc@gmail.com,Bua Thai Ramen & Robata Grill
buckitbar@gmail.com,Buck-!t Sports Bar & Latin Grill
buenaondany@gmail.com,Buena Onda Mescalera
bunddumplinghouse@gmail.com,Bund Dumpling House
eat@bunkernyc.com,Bunker Vietnamese
events@bunnaethiopia.net,Bunna Cafe
bustanny@gmail.com,Bustan
cmoneverybodybk@gmail.com,C'mon Everybody
cabanaqueens@gmail.com,Cabana Restaurant & Bar
cafedalsace@chefdriven.com,Cafe d'Alsace
cafedanversnyc@gmail.com,Café d'Anvers
info@cafehestia.com,Café Hestia
cafemogador101@gmail.com,Cafe Mogador
info@caledoniabar.com,Caledonia
greenpoint@calexico.com,Calexico
uppereast@calexico.com,Calexico
calibunastoria@gmail.com,Cali Bun
info@lacumbanchanyc.com,Cantina Cumbancha NYC
ciao@ilovecaramia.com,Cara Mia
hello@carnegiediner.com,Carnegie Diner & Cafe
casaadelarestaurant@gmail.com,Casa Adela
info@casagaliciany.com,Casa Galicia
info@casalever.com,Casa Lever
info@catchnchop.com,Catch n' Chop
info@cecilybk.com,Cecily
chachawan.nyc@gmail.com,Chachawan Thai Restaurant
chalong@chalongnyc.com,Chalong Southern Thai
chelsea108@hotmail.com,Chelsea Ristorante Italiano
chickitoutastoria@gmail.com,"Chick It Out ""Khao Man Gai"""
chickrocks2022@gmail.com,Chick Rocks
chinxiannj@gmail.com,Chin Xi'an Style Restaurant
info@plataformaonline.com,Churrascaria Plataforma
info@cibaorestaurant.com,Cibao Restaurant
info@clandestinonyc.com,Clandestino
info@claudiasbk.com,Claudia's
info@clintonhallny.com,Clinton Hall 36
cloudsocialnyc@gmail.com,Cloud Social
tamyrofe@gmail.com,Colonia Verde
info@treotto.com,Conmigo
contact@conmigonyc.com,Conmigo
info@coppelianyc.com,Coppelia
coratopizza2@gmail.com,Corato II Pizza
courtdine@aol.com,Court Square Diner
dbafirstavenue@gmail.com,d.b.a.
service@dalongyinyc.com,Da Long Yi Hot Pot
daikanyamanewyork@gmail.com,Daikanyama
