name,amenity,email,phone,website,instagram,address,neighborhood
"(aged.)","restaurant","info@agednyc.com","+1 718-544-2433","https://www.agednyc.com","https://www.instagram.com/agednyc","107-02 70th Road",""
"1 2 3 Burger Shot Beer","bar","info@123burgershotbeer.com","+1-212-315-0123","http://123burgershotbeer.com","","738 10th Avenue","New York"
"1803","restaurant","1803nyc@gmail.com","+1-212-267-3000","https://1803nyc.com/","","82 Reade Street","New York"
"18th Ward Brewing","pub","info@18thwardbrewing.com","+1 718-387-4025","https://www.18thwardbrewing.com","","300 Richardson Street",""
"230 Fifth","bar","info@230-fifth.com","+12122461000","https://230-fifth.com/","230fifthrooftop","230 5th Avenue",""
"5 Burro Cafe","restaurant","greatfood@5burrocafe.com","+1-718-544-2984","https://5burrocafe.com","","72-05 Austin Street","Forest Hills"
"A La Turka Restaurant","restaurant","info@alaturkany.com","+1 212-744-2424","https://www.alaturkany.com","https://instagram.com/alaturkarestaurant/","1417 2nd Avenue",""
"ABA Turkish Restaurant","restaurant","info@abarestaurant.com","+1-212-969-1782","https://abarestaurant.com/","","325 West 57th Street","New York"
"ABC Beer Co.","bar","abcbeerco@gmail.com","+1 646-422-7103","https://www.abcbeer.co/","https://www.instagram.com/abcbeerco","96 Avenue C",""
"Ace Bar","bar","reservations@acebar.com","+1-212-979-8476","https://acebar.com/","","531 East 5th Street",""
"Ace Pizzeria and Restaurant","restaurant","info@acepizzany.com","+1-718-418-0038","https://acepizzany.com/","","61-04 Myrtle Avenue",""
"Achilles Heel","bar","hello@achillesheelnyc.com","+1-347-987-3666","https://www.achillesheelnyc.com/","","180 West Street","Brooklyn"
"Adda","restaurant","hello@addanyc.com","","https://www.addanyc.com","addanyc","",""
"Adyar Ananda Bhavan","restaurant","A1adyarlex@gmail.com","+1 212-551-1066","https://adyaranandabhavanlex.com/","","336 Lexington Avenue","New York"
"Agora","restaurant","agoranyc@hotmail.com","+1 212-717-1220","https://www.agoraturkish.com","","1565 2nd Avenue",""
"Albert’s Bar","bar","info@albertsbar.com","+1 212-597-9345","https://www.albertsbar.com/location/alberts-bar/","","140 East 41st Street",""
"Alewife Brewing","bar","info@alewife.beer","+1 347-808-0464","https://www.alewife.beer/","alewifebrewing","41-11 39th Street",""
"Alke Café","restaurant","contact@AlkeCafe.co","+1 646-360-3920","https://www.alkecafe.co/","https://www.instagram.com/alkecafe","1838 Adam Clayton Powell Jr. Boulevard",""
"Althea’s Hideway","nightclub","altheahideaway@gmail.com","","https://www.altheasrooftop.com/","","634 West 52nd Street","New York"
"Altro Paradiso","restaurant","info@altroparadiso.com","","https://altroparadiso.com/","altroparadiso","234 Spring Street","New York"
"Amami","restaurant","amamibk@gmail.com","+1-917-909-1568","https://amamibk.com/","","",""
"Amarachi","restaurant","amarachiprime@gmail.com","+1-718-222-1010","https://www.amarachibrooklyn189.com","","189 Bridge Street",""
"Amaranto","restaurant","amarantobklyn@gmail.com","+1-718-576-6001","https://amarantobklyn.com/","","887 Hart Street",""
"American Brass","restaurant","info@americanbrasslic.com","+1-718-806-1106","https://www.americanbrasslic.com/","","2-01 50th Avenue Queens","Long Island City"
"Amituofo Vegan Cuisine","restaurant","amituofovegan@gmail.com","+1-718-366-2288","https://www.amituofovegan.com","https://www.instagram.com/amituofovegancuisine/","19 Bogart Street","Brooklyn"
"Amylos Taverna","restaurant","amylosgroup@amylos.com","+1 718-215-0228","https://www.amylos.com/","amylos_taverna","33-19 Broadway",""
"Anand Indian Cuisine","restaurant","anandrestaurantnyc@gmail.com","+1 212-650-0333","https://www.anandindiancuisinenyc.com","","304 East 78th Street",""
"Anar","restaurant","info@nybratfactory.com","+1 -212-366-9888","https://www.anaronline.com","https://www.instagram.com/nybratfactory","935 Amsterdam Avenue","New York"
"Anassa Taverna","restaurant","info@anassataverna.com","+1 212-371-5200","https://manhattan.anassataverna.com","anassataverna","200 East 60th Street",""
"Angeletto","restaurant","angelettonyc@gmail.com","+1 212-235-1227","https://angeletto.com/","","890 2nd Avenue",""
"Angelo Bellini","restaurant","info@angelobellini.com","+1 212-980-2900","https://www.angelobellini.com/","","224 East 53rd Street",""
"Antica Pesa","restaurant","info@anticapesa.com","+1-347-763-2635","https://www.anticapesa.com/antica-pesa-newyork/","","115 Berry Street","Brooklyn"
"Antoya Korean BBQ","restaurant","info@antoyabbq.com","+1 215-695-3131","https://antoyabbq.com","antoyqbbq","37 West 32nd Street",""
"Anytime NYC","restaurant","info@anytimenyc.com","+1 646-669-7733","https://www.anytimenyc.com/","anytimenyc","32 West 32nd Street","New York"
"AOC East","restaurant","info@aoceast.com","+1 646-998-4220","https://aoceast.com","aoceast","1590 1st Avenue",""
"Applejack Diner","restaurant","applejackdiner@yahoo.com","+1 212-586-6075","https://www.applejackdiner.com/","","1725 Broadway",""
