name,amenity,email,phone,website,instagram,address,neighborhood
"1 2 3 Burger Shot Beer","bar","info@123burgershotbeer.com","+1-212-315-0123","http://123burgershotbeer.com","","738 10th Avenue","New York"
"18th Ward Brewing","pub","info@18thwardbrewing.com","+1 718-387-4025","https://www.18thwardbrewing.com","","300 Richardson Street",""
"230 Fifth","bar","info@230-fifth.com","+12122461000","https://230-fifth.com/","230fifthrooftop","230 5th Avenue",""
"ABC Beer Co.","bar","abcbeerco@gmail.com","+1 646-422-7103","https://www.abcbeer.co/","https://www.instagram.com/abcbeerco","96 Avenue C",""
"Ace Bar","bar","reservations@acebar.com","+1-212-979-8476","https://acebar.com/","","531 East 5th Street",""
"Achilles Heel","bar","hello@achillesheelnyc.com","+1-347-987-3666","https://www.achillesheelnyc.com/","","180 West Street","Brooklyn"
"Albert’s Bar","bar","info@albertsbar.com","+1 212-597-9345","https://www.albertsbar.com/location/alberts-bar/","","140 East 41st Street",""
"Alewife Brewing","bar","info@alewife.beer","+1 347-808-0464","https://www.alewife.beer/","alewifebrewing","41-11 39th Street",""
"At Cave","bar","atcave@info.com","","https://www.atcave.com/","at_cave_nyc","103 East 2nd Street",""
"Bailey's Corner Pub","pub","baileyscornerpub@gmail.com","+1 212-650-1341","https://www.baileysnyc.com/","","1607 York Avenue",""
"Bar 43","bar","info@bar43.com","+1 718-361-3090","https://bar43.com","bar43ny","43-06 43rd Street","Sunnyside"
"Bar Felice","bar","barfelice@felicenyc.com","+1 212-249-4080","https://www.felicenyc.com/felice-bar","","1591 1st Avenue",""
"Basik","pub","contact@basikbrooklyn.com","+1 347-889-7597","https://www.basikbrooklyn.com","basikbrooklyn","323 Graham Avenue",""
"Beer Authority","pub","info@beerauthoritynyc.com","+1-212-510-8415","https://www.beerauthoritynyc.com/","@beerauthoritynyc","300 West 40th Street","New York"
"Biddy's Pub","bar","biddys@biddysnyc.com","+1 212-534-4785","https://www.biddysnyc.com/","biddys_pub","301 East 91st Street",""
"Black Crescent","bar","reynolds.livity@gmail.com","+1-347-820-4330","www.blackcrescentnyc.com","blackcrescentny","76 Clinton Street","New York"
"Blaggards Pub","pub","blaggards@verizon.net","+1 212-382-2611","https://blaggardsnyc.com","","8 West 38th Street",""
"Blind Tiger","bar","blindtigeralehouse@gmail.com","+1 212-462-4682","https://www.blindtigeralehouse.com","blindtigeralehouse","281 Bleecker Street","New York"
"Bloom's Tavern","pub","bloomstavern@gmail.com","+1 212-308-9400","https://bloomsnyc.com/","http://instagram.com/bloomstavern","208 East 58th Street",""
"Bondurants","bar","caity@bondurantsnyc.com","+1 929-279-1884","https://bondurantsnyc.com/","bondurantsnyc","303 East 85th Street",""
"Bonus Room","bar","bonusroombar@gmail.com","","http://bonusroombar.com","","991 Wyckoff Avenue","Ridgewood"
"Boyfriend Coop","bar","queers@boyfriend.coop","","https://boyfriend.coop/","boyfriendcoop","1157 Myrtle Avenue","Brooklyn"
"Brandy's Piano Bar","bar","info@brandyspianobar.com","+1 212-744-4949","https://brandyspianobar.com","brandyspianobar","235 East 84th Street",""
"Brouwerij Lane","pub","orders@brouwerijlanenyc.com","+1-347-529-6133","https://www.brouwerijlanenyc.com","","78 Greenpoint Avenue","Brooklyn"
"Buena Onda Mescalera","bar","buenaondany@gmail.com","+1 212-931-6200","https://buenaondany.com/","","1446 1st Avenue",""
